playerKey,playerId,name,position,projMikeClayBasePts,projFantasyProsBasePts,projSleeperBasePts,tradyrIsRookie,lastSeasonSfb,pre_bonus_proj_pts,pos_rank_prebonus,tier_bonus,proj_pts,weekly_pts,VOLS,VORP,VBD,vbd_rank,adp,value_vs_adp,tier,pos_tier
tetairoa-mcmillan,12526,Tetairoa McMillan,WR,196.6,189.74,178.9,FALSE,392.4,189.6025,16,176.33,369.902625,21.75897794117647,142.9111875,244.713625,387.6248125,44,46.91,2.9099999999999966,15,3
baker-mayfield,4892,Baker Mayfield,QB,341.22,354.06,347.88,FALSE,454.92,347.70000000000005,17,89,439.43300000000005,25.849000000000004,68.18343750000014,314.244,382.42743750000017,45,81.65,36.650000000000006,15,6
devonta-smith,7525,DeVonta Smith,WR,193.7,193.1,179.1,FALSE,343.3,189.825,15,176.33,362.72675,21.336867647058824,135.7353125,237.53775,373.2730625,46,50.55,4.549999999999997,15,3
davante-adams,2133,Davante Adams,WR,201.6,188.07,157.7,FALSE,361.4,185.55124999999998,18,176.33,361.8090625,21.282886029411763,134.817625,236.6200625,371.4376875,47,61.12,14.119999999999997,15,3
emeka-egbuka,12514,Emeka Egbuka,WR,184.5,178.07,163.6,FALSE,408.2,176.86375,21,176.33,361.44468750000004,21.261452205882357,134.45325000000005,236.25568750000005,370.7089375000001,48,55.24,7.240000000000002,15,3
sam-darnold,4943,Sam Darnold,QB,322.98,344.1,332.74,FALSE,470.42,333.34000000000003,20,89,429.552,25.267764705882353,58.30243750000011,304.36300000000006,362.66543750000017,49,104.34,55.34,16,6
tee-higgins,6801,Tee Higgins,WR,180,186.41,174.6,FALSE,347.1,181.05375,20,176.33,355.8411875,20.931834558823528,128.84975,230.6521875,359.5019375,50,49.53,-0.46999999999999886,16,4
jordan-love,6804,Jordan Love,QB,337.02,336.92,354.52,FALSE,404.14,341.35749999999996,18,89,426.42487499999993,25.083816176470584,55.17531250000002,301.23587499999996,356.4111875,51,72.85,21.849999999999994,16,6
ashton-jeanty,12527,Ashton Jeanty,RB,249.5,247.69,238.5,FALSE,333.1,246.07125,8,103,346.67556249999996,20.392680147058822,119.68412499999997,221.48656249999996,341.17068749999993,52,21.78,-30.22,17,2
saquon-barkley,4866,Saquon Barkley,RB,253,246.89,228,FALSE,330.8,244.45875,9,103,344.9599375,20.291761029411767,117.96850000000003,219.77093750000003,337.73943750000007,53,26.94,-26.06,17,2
chase-brown,9224,Chase Brown,RB,239.9,247.58,209.8,FALSE,377.6,235.255,12,103,344.15675,20.244514705882352,117.1653125,218.96775,336.1330625,54,33.07,-20.93,17,2
rome-odunze,11620,Rome Odunze,WR,180.4,179.05,156.7,FALSE,289.6,173.96875,24,176.33,341.1939375,20.07023161764706,114.20250000000001,216.0049375,330.2074375,55,74.77,19.769999999999996,17,5
ladd-mcconkey,11635,Ladd McConkey,WR,179.3,174.54,171.8,FALSE,262.4,175.64000000000001,23,176.33,338.53450000000004,19.91379411764706,111.54306250000005,213.34550000000004,324.8885625000001,56,53.74,-2.259999999999998,17,5
josh-jacobs,5850,Josh Jacobs,RB,259.8,241.57,190.1,FALSE,337.6,235.53875000000002,11,103,338.3979375,19.905761029411764,111.40650000000002,213.20893750000002,324.61543750000004,57,53.77,-3.229999999999997,17,2
garrett-wilson,8146,Garrett Wilson,WR,203.8,198.38,188.1,FALSE,128.5,197.8425,14,176.33,337.321625,19.842448529411765,110.3301875,212.132625,322.4628125,58,51.27,-6.729999999999997,17,5
daniel-jones,5870,Daniel Jones,QB,336.42,312.21,288.52,FALSE,383.44,315.36625,22,89,401.2273125,23.601606617647057,29.97775000000007,276.03831249999996,306.01606250000003,59,124.4,65.4,18,7
terry-mclaurin,5927,Terry McLaurin,WR,180.8,179.69,165.6,FALSE,180.2,176.58375,22,176.33,327.0066875,19.2356875,100.01525000000001,201.8176875,301.8329375,60,65.59,5.590000000000003,18,6
cj-stroud,9758,C.J. Stroud,QB,314.74,325.99,292.2,FALSE,380.54,313.32375,23,89,399.0561875,23.47389338235294,27.80662500000011,273.8671875,301.6738125000001,61,107.35,46.349999999999994,18,7
malik-nabers,11632,Malik Nabers,WR,182.3,187.27,191.6,FALSE,112.6,186.48875,17,176.33,325.2859375,19.134466911764704,98.2945,200.0969375,298.3914375,62,33.47,-28.53,18,6
tyler-shough,12545,Tyler Shough,QB,327.88,349.2,320,FALSE,247.96,333.905,19,89,396.66325,23.333132352941178,25.413687500000094,271.47425,296.8879375000001,63,90.29,27.290000000000006,18,7
